Content_id,IMBD_id,IMDB_Rating,Meta_score,Director,Star1,Star2,awards_won,No_of_nomination,No_of_Votes, Gross ,SRC_DATE
C0219,I0219,8.1,93,Tom McCarthy,Mark Ruffalo,Michael Keaton,6,7,420316,"4,50,55,776",2025-05-14
C0220,I0220,8.1,85,Tomm Moore,David Rawle,Brendan Gleeson,2,17,51679,"8,57,524",2025-03-03
C0221,I0221,8.1,47,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,4,13,57806,"10,35,953",2025-02-01
C0222,I0222,8.1,85,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,3,13,67927,"31,08,485",2025-03-09
C0223,I0223,8.1,70,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,4,13,601149,"6,10,02,302",2025-06-10
C0224,I0224,8.1,90,George Miller,Tom Hardy,Charlize Theron,2,5,882316,"15,40,58,340",2025-01-01
C0225,I0225,8.1,53,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,3,23,73891,"3,70,30,102",2025-03-02
C0226,I0226,8.1,72,Clint Eastwood,Clint Eastwood,Bee Vang,1,13,720450,"14,80,95,302",2025-04-17
C0227,I0227,8.1,85,David Yates,Daniel Radcliffe,Emma Watson,0,11,764493,"38,10,11,219",2025-06-11
C0228,I0228,8.1,68,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,3,22,48582,"14,98,210",2025-04-06
C0229,I0229,8.1,60,Lasse Hallström,Richard Gere,Joan Allen,8,15,253575,"37,78,45,905",2025-01-19
C0230,I0230,8.1,91,Adam Elliot,Toni Collette,Philip Seymour Hoffman,7,12,164462,"10,79,28,762",2025-05-23
C0231,I0231,8.1,75,Dean DeBlois,Chris Sanders,Jay Baruchel,1,7,666773,"21,75,81,231",2025-04-08
C0232,I0232,8.1,73,Sean Penn,Emile Hirsch,Vince Vaughn,5,9,572921,"1,83,54,356",2025-02-11
C0233,I0233,8.1,91,Ethan Coen,Joel Coen,Tommy Lee Jones,7,14,856916,"7,42,83,625",2025-03-28
C0234,I0234,8.1,37,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,8,12,43137,"22,17,561",2025-01-02
C0235,I0235,8.1,86,Clint Eastwood,Hilary Swank,Clint Eastwood,7,24,635975,"10,04,92,203",2025-01-15
C0236,I0236,8.1,79,Terry George,Don Cheadle,Sophie Okonedo,1,20,334320,"2,35,30,892",2025-02-10
C0237,I0237,8.1,64,Je-kyu Kang,Jang Dong-Gun,Won Bin,0,22,37820,"11,11,061",2025-03-22
C0238,I0238,8.1,90,Richard Linklater,Ethan Hawke,Julie Delpy,6,17,236311,"58,20,649",2025-03-31
C0239,I0239,8.1,59,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,1,25,73992,"3,70,30,102",2025-05-26
C0240,I0240,8.1,82,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,3,13,139558,"14,131",2025-02-10
C0241,I0241,8.1,69,Farhan Akhtar,Aamir Khan,Saif Ali Khan,2,8,66803,"3,00,000",2025-04-01
C0242,I0242,8.1,69,Quentin Tarantino,Uma Thurman,David Carradine,4,10,1000639,"7,00,99,045",2025-05-28
C0243,I0243,8.1,90,Andrew Stanton,Lee Unkrich,Albert Brooks,7,25,949565,"38,08,43,261",2025-02-17
C0244,I0244,8.1,75,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,8,23,832846,"16,46,15,351",2025-05-11
C0245,I0245,8.1,83,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,8,13,223741,"53,83,834",2025-06-24
C0246,I0246,8.1,79,Pete Docter,David Silverman,Lee Unkrich,2,18,815505,"28,99,16,256",2025-03-02
C0247,I0247,8.1,55,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,5,18,38847,"33,02,52,182",2025-04-21
C0248,I0248,8.1,84,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,0,8,105036,"70,147",2025-04-25
C0249,I0249,8.1,64,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,7,22,911573,"29,35,06,292",2025-04-01
C0250,I0250,8.1,58,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,6,18,59020,"2,59,127",2025-03-16
C0251,I0251,8.1,90,Peter Weir,Jim Carrey,Ed Harris,3,7,939631,"12,56,18,201",2025-03-01
C0252,I0252,8.1,73,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,9,9,50862,"3,48,660",2025-05-26
C0253,I0253,8.1,71,Joel Coen,Ethan Coen,Jeff Bridges,2,16,732620,"1,74,98,804",2025-02-07
C0254,I0254,8.1,85,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,9,21,124383,"27,34,044",2025-04-05
C0255,I0255,8.1,83,Danny Boyle,Ewan McGregor,Ewen Bremner,2,5,634716,"1,65,01,785",2025-03-28
C0256,I0256,8.1,85,Joel Coen,Ethan Coen,William H. Macy,4,24,617444,"2,46,11,975",2025-01-15
C0257,I0257,8.1,33,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,10,25,55220,"1,71,082",2025-06-29
C0258,I0258,8.1,72,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,7,21,150345,"3,09,811",2025-01-31
C0259,I0259,8.1,31,Aditya Chopra,Shah Rukh Khan,Kajol,7,23,63516,"3,70,30,102",2025-01-17
C0260,I0260,8.1,77,Richard Linklater,Ethan Hawke,Julie Delpy,10,16,272291,"55,35,405",2025-02-18
C0261,I0261,8.1,100,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,10,15,90729,"40,43,686",2025-05-06
C0262,I0262,8.1,77,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,4,8,63122,"6,00,200",2025-03-17
C0263,I0263,8.1,68,Steven Spielberg,Sam Neill,Laura Dern,5,17,867615,"40,24,53,882",2025-02-13
C0264,I0264,8.1,84,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,5,5,156842,"2,50,10,410",2025-01-29
C0265,I0265,8.1,97,Kaige Chen,Leslie Cheung,Fengyi Zhang,0,22,25088,"52,16,888",2025-04-25
C0266,I0266,8.1,85,Yimou Zhang,Gong Li,Jingwu Ma,10,9,29662,"26,03,061",2025-04-23
C0267,I0267,8.1,79,Peter Weir,Robin Williams,Robert Sean Leonard,3,13,425457,"9,58,60,116",2025-06-13
C0268,I0268,8.1,75,Rob Reiner,Wil Wheaton,River Phoenix,4,18,363401,"5,22,87,414",2025-03-20
C0269,I0269,8.1,92,Oliver Stone,Charlie Sheen,Tom Berenger,3,5,381222,"13,85,30,565",2025-05-18
C0270,I0270,8.1,78,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,3,10,91188,"21,81,987",2025-01-26
C0271,I0271,8.1,86,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,8,9,150924,"4,95,770",2025-06-29
C0272,I0272,8.1,57,John Carpenter,Kurt Russell,Wilford Brimley,10,8,371271,"1,37,82,838",2025-04-01
C0273,I0273,8.1,47,Alan Parker,Bob Geldof,Christine Hargreaves,8,6,76081,"2,22,44,207",2025-05-30
C0274,I0274,8.1,48,Werner Herzog,Klaus Kinski,Claudia Cardinale,1,5,31595,"10,79,28,762",2025-05-07
C0275,I0275,8.1,100,Ingmar Bergman,Bertil Guve,Pernilla Allwin,9,23,57784,"49,71,340",2025-03-04
C0276,I0276,8.1,84,Ridley Scott,Harrison Ford,Rutger Hauer,3,23,693827,"3,28,68,943",2025-05-05
C0277,I0277,8.1,78,David Lynch,Anthony Hopkins,John Hurt,5,5,220078,"33,02,52,182",2025-05-21
C0278,I0278,8.1,77,Terry Jones,Graham Chapman,John Cleese,10,14,367250,"2,00,45,115",2025-06-15
C0279,I0279,8.1,86,Michael Cimino,Robert De Niro,Christopher Walken,9,13,311361,"4,89,79,328",2025-04-23
C0280,I0280,8.1,70,John G. Avildsen,Sylvester Stallone,Talia Shire,7,21,518546,"11,72,35,247",2025-02-11
C0281,I0281,8.1,83,Sidney Lumet,Faye Dunaway,William Holden,3,14,144911,"3,70,30,102",2025-05-09
C0282,I0282,8.1,89,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,3,24,149843,"10,79,28,762",2025-06-29
C0283,I0283,8.1,85,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,6,9,40081,"1,77,345",2025-06-09
C0284,I0284,8.1,92,Roman Polanski,Jack Nicholson,Faye Dunaway,7,8,294230,"2,90,00,000",2025-04-03
C0285,I0285,8.1,77,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,2,8,42285,"3,09,33,743",2025-03-16
C0286,I0286,8.1,57,Ingmar Bergman,Harriet Andersson,Liv Ullmann,6,12,30206,"17,42,348",2025-03-09
C0287,I0287,8.1,90,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,7,17,81021,"33,02,52,182",2025-04-07
C0288,I0288,8.1,42,Jean-Pierre Melville,Alain Delon,François Périer,2,20,45434,"39,481",2025-02-16
C0289,I0289,8.1,92,Stuart Rosenberg,Paul Newman,George Kennedy,9,19,161984,"1,62,17,773",2025-05-07
C0290,I0290,8.1,86,Ingmar Bergman,Bibi Andersson,Liv Ullmann,9,11,103191,"1,62,17,773",2025-01-30
C0291,I0291,8.1,49,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,5,13,46947,"1,02,021",2025-02-10
C0292,I0292,8.1,96,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,3,11,53089,"55,908",2025-06-01
C0293,I0293,8.1,30,Luis Buñuel,Silvia Pinal,Jacqueline Andere,9,17,29682,"27,71,48,304",2025-06-14
C0294,I0294,8.1,75,Robert Aldrich,Bette Davis,Joan Crawford,6,11,50058,"40,50,000",2025-03-09
C0295,I0295,8.1,62,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,6,24,33044,"17,59,34,711",2025-03-17
C0296,I0296,8.1,94,John Ford,James Stewart,John Wayne,7,21,68827,"18,55,52,937",2025-05-13
C0297,I0297,8.1,96,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,2,23,31728,"29,62,81,661",2025-02-17
C0298,I0298,8.1,59,Ingmar Bergman,Max von Sydow,Birgitta Valberg,9,21,26697,"15,26,000",2025-01-03
C0299,I0299,8.1,75,Stanley Kramer,Spencer Tracy,Fredric March,10,18,27254,"14,74,39,813",2025-01-18
C0300,I0300,8.1,37,François Truffaut,Jean-Pierre Léaud,Albert Rémy,9,21,105291,"4,12,18,839",2025-06-11
C0301,I0301,8.1,90,William Wyler,Charlton Heston,Jack Hawkins,9,23,219466,"7,47,00,000",2025-03-13
C0302,I0302,8.1,64,Akira Kurosawa,Toshirô Mifune,Misa Uehara,8,10,34797,"6,01,51,893",2025-05-25
C0303,I0303,8.1,71,Federico Fellini,Giulietta Masina,François Périer,9,11,42940,"7,52,045",2025-01-17
C0304,I0304,8.1,42,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,9,8,46678,"31,72,27,891",2025-02-09
C0305,I0305,8.1,87,David Lean,William Holden,Alec Guinness,0,9,203463,"4,49,08,000",2025-03-15
C0306,I0306,8.1,91,Elia Kazan,Marlon Brando,Karl Malden,2,13,142107,"96,00,000",2025-01-06
C0307,I0307,8.1,85,Henri-Georges Clouzot,Yves Montand,Charles Vanel,0,21,54588,"23,98,35,674",2025-04-02
C0308,I0308,8.1,72,Billy Wilder,Kirk Douglas,Jan Sterling,4,10,31568,"39,69,893",2025-04-06
C0309,I0309,8.1,55,Raoul Walsh,James Cagney,Virginia Mayo,10,20,29807,"27,21,83,576",2025-03-30
C0310,I0310,8.1,97,Carol Reed,Orson Welles,Joseph Cotten,5,12,158731,"4,49,191",2025-02-07
C0311,I0311,8.1,67,Michael Powell,Emeric Pressburger,Anton Walbrook,10,12,30935,"1,09,00,000",2025-01-02
C0312,I0312,8.1,96,Ernst Lubitsch,Margaret Sullavan,James Stewart,5,6,28450,"2,03,300",2025-04-04
C0313,I0313,8.1,86,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,2,10,123942,"43,60,000",2025-01-10
C0314,I0314,8.1,73,Frank Capra,James Stewart,Jean Arthur,6,13,107017,"96,00,000",2025-04-22
C0315,I0315,8.1,97,Victor Fleming,George Cukor,Sam Wood,8,11,290074,"19,86,76,459",2025-06-06
C0316,I0316,8.1,52,Jean Renoir,Jean Gabin,Dita Parlo,1,15,33829,"1,72,885",2025-01-08
C0317,I0317,8.1,87,Frank Capra,Clark Gable,Claudette Colbert,2,9,94016,"43,60,000",2025-04-19
C0318,I0318,8.1,85,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,4,23,47676,"21,877",2025-01-06
C0319,I0319,8.1,90,Charles Chaplin,Charles Chaplin,Merna Kennedy,3,19,30205,"23,31,16,953",2025-01-16
C0320,I0320,8.1,51,F.W. Murnau,George O'Brien,Janet Gaynor,2,11,46865,"5,39,540",2025-04-07
C0321,I0321,8.1,46,Clyde Bruckman,Buster Keaton,Buster Keaton,9,22,81156,"10,33,895",2025-04-25
C0322,I0322,8.1,75,Robert Wiene,Werner Krauss,Conrad Veidt,1,19,57428,"8,61,64,405",2025-01-19
C0323,I0323,8,65,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,10,11,27978,"27,07,36,058",2025-06-04
C0324,I0324,8,69,Ericson Core,Willem Dafoe,Julianne Nicholson,6,13,37556,"13,94,82,490",2025-02-27
C0325,I0325,8,48,Raja Menon,Akshay Kumar,Nimrat Kaur,8,20,52897,"21,98,02,720",2025-05-17
C0326,I0326,8,27,Kabir Khan,Salman Khan,Harshaali Malhotra,0,12,72245,"81,78,001",2025-06-18
C0327,I0327,8,26,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,5,13,52848,"14,33,18,683",2025-04-29
C0328,I0328,8,94,Damien Chazelle,Ryan Gosling,Emma Stone,9,20,505918,"15,11,01,803",2025-02-21
C0329,I0329,8,69,Garth Davis,Dev Patel,Nicole Kidman,8,22,213970,"5,17,39,495",2025-03-22
C0330,I0330,8,80,Ridley Scott,Matt Damon,Jessica Chastain,7,12,760094,"22,84,33,663",2025-03-24
C0331,I0331,8,78,Byron Howard,Rich Moore,Jared Bush,5,6,434143,"34,12,68,248",2025-05-20
C0332,I0332,8,79,S.S. Rajamouli,Prabhas,Rana Daggubati,4,21,102972,"67,38,000",2025-04-02
C0333,I0333,8,89,Isao Takahata,Chloë Grace Moretz,James Caan,0,10,38746,"15,06,975",2025-06-28
C0334,I0334,8,66,Stephen Chbosky,Jacob Tremblay,Owen Wilson,9,15,141923,"13,24,22,809",2025-04-22
C0335,I0335,8,65,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,3,9,31886,"55,66,534",2025-03-06
C0336,I0336,8,85,Neeraj Pandey,Akshay Kumar,Anupam Kher,7,12,51069,"10,79,369",2025-02-22
C0337,I0337,8,82,Destin Daniel Cretton,Brie Larson,Frantz Turner,4,22,81770,"10,10,414",2025-02-01
C0338,I0338,8,71,Gareth Evans,Iko Uwais,Yayan Ruhian,10,11,114316,"26,25,803",2025-05-11
C0339,I0339,8,73,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,2,8,685201,"9,11,25,683",2025-06-13
C0340,I0340,8,76,James Gunn,Chris Pratt,Vin Diesel,1,6,1043455,"33,31,76,600",2025-05-04
C0341,I0341,8,81,Denis Villeneuve,Harrison Ford,Ryan Gosling,0,17,461823,"9,20,54,159",2025-03-19
C0342,I0342,8,90,Spike Jonze,Joaquin Phoenix,Amy Adams,6,20,540772,"2,55,68,251",2025-04-18
C0343,I0343,8,49,Bryan Singer,Rami Malek,Lucy Boynton,8,15,450349,"21,64,28,042",2025-03-25
C0344,I0344,8,76,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,7,13,705589,"18,36,37,894",2025-03-17
C0345,I0345,8,67,Stephen Chbosky,Logan Lerman,Emma Watson,7,25,462252,"1,77,38,570",2025-06-05
C0346,I0346,8,71,José Padilha,Wagner Moura,Irandhir Santos,0,20,79200,"1,00,119",2025-06-19
C0347,I0347,8,88,Tom Hooper,Colin Firth,Geoffrey Rush,10,19,639603,"13,87,97,449",2025-04-22
C0348,I0348,8,62,Tate Taylor,Emma Stone,Viola Davis,6,11,428521,"16,97,08,112",2025-05-19
C0349,I0349,8,65,Tim Miller,Ryan Reynolds,Morena Baccarin,5,16,902669,"36,30,70,709",2025-04-24
C0350,I0350,8,87,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,9,11,45803,"1,06,662",2025-03-08
C0351,I0351,8,39,Anurag Kashyap,Abhay Deol,Mahie Gill,7,13,28749,"10,950",2025-06-21
C0352,I0352,8,59,Wilson Yip,Donnie Yen,Simon Yam,5,15,211427,"5,22,79,187",2025-06-16
C0353,I0353,8,50,Karan Johar,Shah Rukh Khan,Kajol,1,17,98575,"40,18,695",2025-01-02
C0354,I0354,8,50,Levent Semerci,Erdem Can,Mete Horozoglu,7,15,31838,"27,65,18,999",2025-03-12
C0355,I0355,8,84,Danny Boyle,Loveleen Tandan,Dev Patel,0,10,798882,"14,13,19,928",2025-05-07
C0356,I0356,8,79,Darren Aronofsky,Natalie Portman,Mila Kunis,4,25,699673,"10,69,54,678",2025-05-24
C0357,I0357,8,33,José Padilha,Wagner Moura,André Ramiro,10,21,98097,"8,060",2025-06-05
C0358,I0358,8,69,Joss Whedon,Robert Downey Jr.,Chris Evans,5,15,1260806,"62,32,79,547",2025-05-20
C0359,I0359,8,90,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,5,19,88656,"44,45,756",2025-03-04
C0360,I0360,8,80,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,1,14,441614,"2,72,98,285",2025-03-08
C0361,I0361,8,64,Gabriele Muccino,Will Smith,Thandie Newton,9,16,448930,"16,35,66,459",2025-04-25
C0362,I0362,8,64,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,10,8,499439,"5,73,66,262",2025-02-08
C0363,I0363,8,85,Paul Greengrass,Matt Damon,Edgar Ramírez,2,20,604694,"22,74,71,070",2025-04-10
C0364,I0364,8,72,Ki-duk Kim,Seung-Yun Lee,Hee Jae,3,24,50610,"2,38,507",2025-03-18
C0365,I0365,8,74,Frank Miller,Quentin Tarantino,Robert Rodriguez,6,16,738512,"7,41,03,820",2025-06-16
C0366,I0366,8,92,Julian Schnabel,Laura Obiols,Mathieu Amalric,7,10,103284,"59,90,075",2025-02-10
C0367,I0367,8,100,Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,3,20,56960,"12,35,82,303",2025-01-01
C0368,I0368,8,96,Brad Bird,Jan Pinkava,Brad Garrett,5,20,641645,"20,64,45,654",2025-06-18
C0369,I0369,8,80,Martin Campbell,Daniel Craig,Eva Green,10,24,582239,"16,74,45,960",2025-03-01
C0370,I0370,8,83,Quentin Tarantino,Uma Thurman,David Carradine,6,8,683900,"6,62,08,183",2025-05-25
C0371,I0371,8,82,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,3,12,42399,"5,02,028",2025-03-26
C0372,I0372,8,85,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,1,24,77520,"23,80,788",2025-03-25
C0373,I0373,8,74,Alejandro Amenábar,Javier Bardem,Belén Rueda,9,19,77554,"20,86,345",2025-01-05
C0374,I0374,8,69,Ron Howard,Russell Crowe,Renée Zellweger,1,16,176151,"6,16,49,911",2025-05-21
C0375,I0375,8,54,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,4,25,63460,"17,87,378",2025-05-15
C0376,I0376,8,75,Andrew Lau,Alan Mak,Andy Lau,5,12,117857,"1,69,659",2025-06-27
C0377,I0377,8,63,Gore Verbinski,Johnny Depp,Geoffrey Rush,8,11,1015122,"30,54,13,918",2025-06-12
C0378,I0378,8,58,Tim Burton,Ewan McGregor,Albert Finney,3,10,415218,"6,62,57,002",2025-01-07
C0379,I0379,8,90,Brad Bird,Craig T. Nelson,Samuel L. Jackson,7,6,657047,"26,14,41,092",2025-04-01
C0380,I0380,8,64,Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,2,15,45403,"31,44,72,312",2025-05-23
C0381,I0381,8,60,Lars von Trier,Nicole Kidman,Paul Bettany,1,25,137963,"15,30,386",2025-01-06
C0382,I0382,8,64,Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,2,7,33592,"20,41,33,972",2025-04-29
C0383,I0383,8,88,Richard Kelly,Jake Gyllenhaal,Jena Malone,3,17,740086,"14,80,006",2025-01-06
C0384,I0384,8,77,Paul Thomas Anderson,Tom Cruise,Jason Robards,2,6,289742,"2,24,55,976",2025-06-11
C0385,I0385,8,61,Lars von Trier,Björk,Catherine Deneuve,4,17,102285,"41,84,036",2025-04-20
C0386,I0386,8,86,David Lynch,Richard Farnsworth,Sissy Spacek,5,14,82002,"62,03,044",2025-03-28
C0387,I0387,8,47,Satoshi Kon,Junko Iwao,Rica Matsumoto,6,11,58192,"7,76,665",2025-04-26
C0388,I0388,8,82,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,9,13,78341,"16,47,780",2025-03-23
C0389,I0389,8,80,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,8,15,36419,"55,95,428",2025-04-02
C0390,I0390,8,85,Brad Bird,Eli Marienthal,Harry Connick Jr.,5,14,172083,"2,31,59,305",2025-01-04
C0391,I0391,8,50,Thomas Jahn,Til Schweiger,Jan Josef Liefers,8,11,27721,"3,296",2025-03-04
C0392,I0392,8,84,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,5,17,86838,"2,44,75,416",2025-05-12
C0393,I0393,8,91,Mike Leigh,Timothy Spall,Brenda Blethyn,5,8,37564,"1,34,17,292",2025-03-20
C0394,I0394,8,74,Terry Gilliam,Bruce Willis,Madeleine Stowe,0,12,578443,"5,71,41,459",2025-05-12
C0395,I0395,8,76,Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,5,10,129231,"5,15,905",2025-03-10
C0396,I0396,8,82,Henry Selick,Danny Elfman,Chris Sarandon,1,5,300208,"7,50,82,668",2025-06-19
C0397,I0397,8,72,Harold Ramis,Bill Murray,Andie MacDowell,0,9,577991,"7,09,06,973",2025-03-13
C0398,I0398,8,47,Taylor Hackford,Damian Chapa,Jesse Borrego,7,17,28825,"44,96,583",2025-02-03
C0399,I0399,8,59,Martin Brest,Al Pacino,Chris O'Donnell,9,14,263918,"6,38,95,607",2025-06-18
C0400,I0400,8,86,Ron Clements,John Musker,Scott Weinger,4,24,373845,"21,73,50,219",2025-06-22
C0401,I0401,8,72,Oliver Stone,Kevin Costner,Gary Oldman,6,15,142110,"7,04,05,498",2025-04-29
C0402,I0402,8,95,Gary Trousdale,Kirk Wise,Paige O'Hara,10,8,417178,"21,89,67,620",2025-01-01
C0403,I0403,8,72,Kevin Costner,Kevin Costner,Mary McDonnell,0,9,240266,"18,42,08,848",2025-04-10
C0404,I0404,8,93,Spike Lee,Danny Aiello,Ossie Davis,5,5,89429,"2,75,45,445",2025-05-16
C0405,I0405,8,65,Barry Levinson,Dustin Hoffman,Tom Cruise,4,15,473064,"17,88,00,000",2025-04-22
C0406,I0406,8,31,Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,2,12,164918,"5,53,171",2025-01-17
C0407,I0407,8,77,Rob Reiner,Cary Elwes,Mandy Patinkin,4,18,393899,"3,08,57,814",2025-06-01
C0408,I0408,8,79,Wim Wenders,Bruno Ganz,Solveig Dommartin,8,8,64722,"33,33,969",2025-02-04
C0409,I0409,8,88,Louis Malle,Gaspard Manesse,Raphael Fejtö,7,16,31163,"45,42,825",2025-03-11
C0410,I0410,8,78,Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,0,10,150140,"27,55,44,419",2025-01-08
C0411,I0411,8,84,James Cameron,Arnold Schwarzenegger,Linda Hamilton,4,5,799795,"3,84,00,000",2025-01-17
C0412,I0412,8,79,Richard Attenborough,Ben Kingsley,John Gielgud,3,13,217664,"5,27,67,889",2025-01-03
C0413,I0413,8,84,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,1,13,32195,"13,13,72,093",2025-05-28
C0414,I0414,8,83,Hal Ashby,Peter Sellers,Shirley MacLaine,7,17,65625,"3,01,77,511",2025-06-19
C0415,I0415,8,92,Woody Allen,Woody Allen,Diane Keaton,6,8,251823,"3,92,00,000",2025-04-07
C0416,I0416,8,87,Steven Spielberg,Roy Scheider,Robert Shaw,5,11,543388,"26,00,00,000",2025-04-30
C0417,I0417,8,86,Sidney Lumet,Al Pacino,John Cazale,6,19,235652,"5,00,00,000",2025-06-17
C0418,I0418,8,80,Mel Brooks,Gene Wilder,Madeline Kahn,0,24,143359,"8,63,00,000",2025-01-20
C0419,I0419,8,58,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,2,12,121627,"5,32,67,000",2025-03-24
C0420,I0420,8,81,William Friedkin,Ellen Burstyn,Max von Sydow,5,22,362393,"23,29,06,145",2025-06-08
C0421,I0421,8,35,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,4,14,44748,"40,81,254",2025-05-30
C0422,I0422,8,93,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,6,10,42456,"2,91,33,000",2025-01-15
C0423,I0423,8,67,Norman Jewison,Topol,Norma Crane,0,19,39491,"8,05,00,000",2025-04-23
C0424,I0424,8,100,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,0,19,27067,"5,41,940",2025-01-13
C0425,I0425,8,66,George Roy Hill,Paul Newman,Robert Redford,1,25,201888,"10,23,08,889",2025-05-19
C0426,I0426,8,96,Roman Polanski,Mia Farrow,John Cassavetes,2,14,193674,"29,80,97,198",2025-04-10
C0427,I0427,8,79,Franklin J. Schaffner,Charlton Heston,Roddy McDowall,5,10,165167,"3,33,95,426",2025-02-07
C0428,I0428,8,83,Mike Nichols,Dustin Hoffman,Anne Bancroft,5,5,253676,"10,49,45,305",2025-06-17
C0429,I0429,8,75,Mike Nichols,Elizabeth Taylor,Richard Burton,0,14,68926,"6,66,79,949",2025-03-13
C0430,I0430,8,63,Robert Wise,Julie Andrews,Christopher Plummer,7,13,205425,"16,32,14,286",2025-01-11
C0431,I0431,8,69,David Lean,Omar Sharif,Julie Christie,0,20,69903,"11,17,22,000",2025-04-13
C0432,I0432,8,65,Sergio Leone,Clint Eastwood,Gian Maria Volontè,4,16,198219,"1,45,00,000",2025-06-18
C0433,I0433,8,91,Federico Fellini,Marcello Mastroianni,Anouk Aimée,4,22,108844,"50,690",2025-04-15
C0434,I0434,8,67,Jean-Luc Godard,Anna Karina,Sady Rebbot,10,23,28057,"28,55,55,272",2025-01-24
C0435,I0435,8,90,Robert Rossen,Paul Newman,Jackie Gleason,6,15,75067,"82,84,000",2025-01-03
C0436,I0436,8,95,Federico Fellini,Marcello Mastroianni,Anita Ekberg,10,23,66621,"1,95,16,000",2025-05-19
C0437,I0437,8,93,Howard Hawks,John Wayne,Dean Martin,4,11,56305,"1,25,35,000",2025-06-12
C0438,I0438,8,95,Otto Preminger,James Stewart,Lee Remick,6,19,59847,"1,19,00,000",2025-02-11
C0439,I0439,8,99,Orson Welles,Charlton Heston,Orson Welles,5,18,98431,"22,37,659",2025-01-13
C0440,I0440,8,84,Richard Brooks,Elizabeth Taylor,Paul Newman,4,19,45062,"1,75,70,324",2025-04-08
C0441,I0441,8,100,Alexander Mackendrick,Burt Lancaster,Tony Curtis,9,5,28137,"17,92,31,288",2025-04-15
C0442,I0442,8,91,Stanley Kubrick,Sterling Hayden,Coleen Gray,8,13,81702,"24,26,95,761",2025-01-05
C0443,I0443,8,99,Charles Laughton,Robert Mitchum,Shelley Winters,5,19,81980,"6,54,000",2025-06-23
